Date,Close
3/6/18,60.540001
3/7/18,60.459999
3/8/18,60.294998
3/9/18,61.3325
3/12/18,62.439999
3/13/18,61.927502
3/14/18,62.185001
3/15/18,62.334999
3/16/18,62.619999
3/19/18,60.25
3/20/18,62.395
3/21/18,62.139999
3/22/18,60.462502
3/23/18,58.2425
3/26/18,61.119999
3/27/18,56.380001
3/28/18,55.337502
3/29/18,57.897499
4/2/18,55.262501
4/3/18,56.337502
4/4/18,56.560001
4/5/18,55.345001
4/6/18,53.5625
4/9/18,53.852501
4/10/18,56.977501
4/11/18,56.560001
4/12/18,58.650002
4/13/18,57.875
4/16/18,57.872501
4/17/18,59.384998
4/18/18,59.092499
4/19/18,57.259998
4/20/18,57.177502
4/23/18,55.970001
4/24/18,55.299999
4/25/18,54.165001
4/26/18,56.305
4/27/18,56.5825
4/30/18,56.224998
5/1/18,56.785
5/2/18,56.577499
5/3/18,58.247501
5/4/18,59.764999
5/7/18,62.169998
5/8/18,62.599998
5/9/18,63.945
5/10/18,65.032501
5/11/18,63.6325
5/14/18,63.84
5/15/18,61.389999
5/16/18,61.502499
5/17/18,61.927502
5/18/18,61.485001
5/21/18,61.060001
5/22/18,60.674999
5/23/18,61.884998
5/24/18,61.922501
5/25/18,62.32
5/29/18,62.147499
5/30/18,63.247501
5/31/18,63.047501
6/1/18,64.404999
6/4/18,66.212502
6/5/18,66.267502
6/6/18,66.287498
6/7/18,65.724998
6/8/18,65.57
6/11/18,65.154999
6/12/18,65.644997
6/13/18,65.599998
6/14/18,66.727501
6/15/18,66.315002
6/18/18,66.272499
6/19/18,65.042503
6/20/18,65.577499
6/21/18,64.277496
6/22/18,62.737499
6/25/18,59.779999
6/26/18,60.497501
6/27/18,58.93
6/28/18,60.215
6/29/18,59.224998
7/2/18,60.560001
7/3/18,59.209999
7/5/18,60.682499
7/6/18,61.8325
7/9/18,62.3125
7/10/18,63.3125
7/11/18,61.8825
7/12/18,62.807499
7/13/18,62.330002
7/16/18,62.049999
7/17/18,63.422501
7/18/18,62.924999
7/19/18,63.0075
7/20/18,62.7225
7/23/18,62.352501
7/24/18,62.177502
7/25/18,62.967499
7/26/18,63.709999
7/27/18,63.005001
7/30/18,61.032501
7/31/18,61.215
8/1/18,61.6175
8/2/18,62.654999
8/3/18,63.025002
8/6/18,63.5075
8/7/18,64.237503
8/8/18,64.605003
8/9/18,64.114998
8/10/18,63.697498
8/13/18,64.029999
8/14/18,65.357498
8/15/18,64.769997
8/16/18,64.360001
8/17/18,61.205002
8/20/18,61.959999
8/21/18,63.330002
8/22/18,65.705002
8/23/18,66.709999
8/24/18,68.055
8/27/18,68.974998
8/28/18,68.595001
8/29/18,69.622498
8/30/18,69.452499
8/31/18,70.169998
9/4/18,70.925003
9/5/18,69.605003
9/6/18,68.18
9/7/18,67.964996
9/10/18,68.682503
9/11/18,68.199997
9/12/18,67.050003
9/13/18,67.834999
9/14/18,69.107498
9/17/18,68.482498
9/18/18,67.754997
9/19/18,67.995003
9/20/18,66.57
9/21/18,65.862503
9/24/18,66.425003
9/25/18,67.102501
9/26/18,66.730003
9/27/18,66.849998
9/28/18,70.254997
10/1/18,72.339996
10/2/18,71.620003
10/3/18,71.682503
10/4/18,69.822502
10/5/18,67.464996
10/8/18,66.442497
10/9/18,66.385002
10/10/18,61.422501
10/11/18,58.782501
10/12/18,61.634998
10/15/18,58.845001
10/16/18,61.4575
10/17/18,60.764999
10/18/18,59.8825
10/19/18,57.2925
10/22/18,57.805
10/23/18,55.264999
10/24/18,49.852501
10/25/18,51.959999
10/26/18,49.572498
10/29/18,46.404999
10/30/18,50.75
10/31/18,52.7075
11/1/18,54.5275
11/2/18,53.73
11/5/18,52.942501
11/6/18,52.764999
11/7/18,53.447498
11/8/18,51.497501
11/9/18,51.4175
11/12/18,47.384998
11/13/18,49.827499
11/14/18,49.297501
11/15/18,50.5975
11/16/18,41.107498
11/19/18,36.174999
11/20/18,37.27
11/21/18,36.177502
11/23/18,36.25
11/26/18,38.262501
11/27/18,38.432499
11/28/18,40.017502
11/29/18,39.34
11/30/18,40.857498
12/3/18,42.509998
12/4/18,39.2775
12/6/18,39.572498
12/7/18,36.9025
12/10/18,37.965
12/11/18,37.047501
12/12/18,37.224998
12/13/18,37.2225
12/14/18,36.612499
12/17/18,35.895
12/18/18,36.735001
12/19/18,34.627499
12/20/18,33.775002
12/21/18,32.392502
12/24/18,31.77
12/26/18,33.275002
12/27/18,32.7925
12/28/18,33.412498
12/31/18,33.375
1/2/19,34.055
1/3/19,31.997499
1/4/19,34.047501
1/7/19,35.849998
1/8/19,34.9575
1/9/19,35.645
1/10/19,36.307499
1/11/19,37.2075
1/14/19,37.610001
1/15/19,37.467499
1/16/19,37.209999
1/17/19,37.93
1/18/19,39.232498
1/22/19,37.192501
1/23/19,37.322498
1/24/19,39.459999
1/25/19,40.037498
1/28/19,34.502499
1/29/19,32.900002
1/30/19,34.3475
1/31/19,35.9375
2/1/19,36.182499
2/4/19,37.294998
2/5/19,37.487499
2/6/19,38.25
2/7/19,36.855
2/8/19,37.0425
2/11/19,36.612499
2/12/19,37.7925
2/13/19,38.220001
2/14/19,38.6325
2/15/19,39.334999
2/19/19,39.16
2/20/19,39.637501
2/21/19,38.942501
2/22/19,39.797501
2/25/19,39.672501
2/26/19,39.275002
2/27/19,38.852501
2/28/19,38.564999
3/1/19,39.112499
3/4/19,39.195
3/5/19,39.130001
3/6/19,38.012501
3/7/19,37.314999
3/8/19,37.66
3/11/19,40.285
3/12/19,40.630001
3/13/19,42.154999
3/14/19,41.389999
3/15/19,42.452499
3/18/19,42.237499
3/19/19,43.927502
3/20/19,43.599998
3/21/19,45.985001
3/22/19,44.375
3/25/19,43.445
3/26/19,44.217499
3/27/19,44.125
3/28/19,44.3125
3/29/19,44.889999
4/1/19,45.57
4/2/19,45.75
4/3/19,47.154999
4/4/19,47.064999
4/5/19,47.737499
4/8/19,47.947498
4/9/19,47.314999
4/10/19,48.025002
4/11/19,47.884998
4/12/19,47.502499
4/15/19,46.174999
4/16/19,47.052502
4/17/19,46.822498
4/18/19,46.575001
4/22/19,47.1175
4/23/19,47.6675
4/24/19,47.7925
4/25/19,46.727501
4/26/19,44.522499
4/29/19,44.8325
4/30/19,45.25
